#YY,MM,DD,hh,mm,WDIR WSPD GST,WVHT,DPD,APD,MWD   PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT m/s  m/s,m,sec,sec,degT   hPa,degC,degC,degC,mi,ft
2022,1,5,2,26,999 99.0 99.0,1.18,10.53,7.31,82 9999.0,999,8.5,999,99,99
2022,1,5,2,56,999 99.0 99.0,1.12,11.11,7,82 9999.0,999,8.5,999,99,99
2022,1,5,3,26,999 99.0 99.0,1.16,9.88,7.16,76 9999.0,999,8.5,999,99,99
2022,1,5,3,56,999 99.0 99.0,1.08,10.53,6.91,83 9999.0,999,8.5,999,99,99
2022,1,5,4,26,999 99.0 99.0,1.04,13.33,6.78,92 9999.0,999,8.4,999,99,99
2022,1,5,4,56,999 99.0 99.0,1.11,11.11,6.44,83 9999.0,999,8.4,999,99,99
2022,1,5,5,26,999 99.0 99.0,1.07,9.09,5.9,78 9999.0,999,8.4,999,99,99
2022,1,5,5,56,999 99.0 99.0,1.11,12.5,5.43,86 9999.0,999,8.4,999,99,99
2022,1,5,6,26,999 99.0 99.0,1.18,11.11,5.73,83 9999.0,999,8.4,999,99,99
2022,1,5,6,56,999 99.0 99.0,1.14,10.53,5.62,80 9999.0,999,8.4,999,99,99
2022,1,5,7,26,999 99.0 99.0,1.21,11.76,5.49,82 9999.0,999,8.4,999,99,99
2022,1,5,7,56,999 99.0 99.0,1.27,11.76,5.22,89 9999.0,999,8.4,999,99,99
2022,1,5,8,26,999 99.0 99.0,1.36,11.76,4.87,86 9999.0,999,8.4,999,99,99
2022,1,5,8,56,999 99.0 99.0,1.45,10.53,4.93,89 9999.0,999,8.4,999,99,99
2022,1,5,9,26,999 99.0 99.0,1.58,4.55,4.9,131 9999.0,999,8.4,999,99,99
2022,1,5,9,56,999 99.0 99.0,1.58,12.5,5.26,96 9999.0,999,8.4,999,99,99
2022,1,5,10,26,999 99.0 99.0,1.53,4.76,5.33,121 9999.0,999,8.4,999,99,99
2022,1,5,10,56,999 99.0 99.0,1.45,4.76,5.25,127 9999.0,999,8.4,999,99,99
